Zone;Africa/Algiers;0;12;12;LMT;1891;3;16
8;00;0;-;%z;0;1;1;0;0;0
Zone;Antarctica/Davis;0;0;0;-00;1957;1;13
7;00;0;-;%z;1964;11;1;0;0;0
0;0;0;-;-00;1969;2;1;0;0;0
7;00;0;-;%z;2009;10;18;2;00;0
5;00;0;-;%z;2010;3;10;20;00u;0
7;00;0;-;%z;2011;10;28;2;00;0
5;00;0;-;%z;2012;2;21;20;00u;0
7;00;0;-;%z;0;1;1;0;0;0
Zone;Antarctica/Mawson;0;0;0;-00;1954;2;13
6;00;0;-;%z;2009;10;18;2;00;0
5;00;0;-;%z;0;1;1;0;0;0
Zone;Antarctica/Troll;0;0;0;-00;2005;2;12
0;00;0;Troll;%s;0;1;1;0;0;0
Zone;Antarctica/Vostok;0;0;0;-00;1957;12;16
7;00;0;-;%z;1994;2;1;0;0;0
0;0;0;-;-00;1994;11;1;0;0;0
7;00;0;-;%z;2023;12;18;2;00;0
5;00;0;-;%z;0;1;1;0;0;0
Zone;Antarctica/Rothera;0;0;0;-00;1976;12;1
-3;00;0;-;%z;0;1;1;0;0;0
Zone;Asia/Kabul;4;36;48;LMT;1890;1;1
4;00;0;-;%z;1945;1;1;0;0;0
4;30;0;-;%z;0;1;1;0;0;0
Zone;Asia/Yerevan;2;58;00;LMT;1924;5;2
3;00;0;-;%z;1957;3;1;0;0;0
4;00;0;RussiaAsia;%z;1991;3;31;2;00s;0
3;00;0;RussiaAsia;%z;1995;9;24;2;00s;0
4;00;0;-;%z;1997;1;1;0;0;0
4;00;0;RussiaAsia;%z;2011;1;1;0;0;0
4;00;0;Armenia;%z;0;1;1;0;0;0
Zone;Asia/Baku;3;19;24;LMT;1924;5;2
3;00;0;-;%z;1957;3;1;0;0;0
4;00;0;RussiaAsia;%z;1991;3;31;2;00s;0
3;00;0;RussiaAsia;%z;1992;9;lastSun;2;00s;0
4;00;0;-;%z;1996;1;1;0;0;0
4;00;0;EUAsia;%z;1997;1;1;0;0;0
4;00;0;Azer;%z;0;1;1;0;0;0
Zone;Asia/Dhaka;6;01;40;LMT;1890;1;1
5;53;20;-;HMT;1941;10;1;0;0;0
6;30;0;-;%z;1942;5;15;0;0;0
5;30;0;-;%z;1942;9;1;0;0;0
6;30;0;-;%z;1951;9;30;0;0;0
6;00;0;-;%z;2009;1;1;0;0;0
6;00;0;Dhaka;%z;0;1;1;0;0;0
Zone;Asia/Thimphu;5;58;36;LMT;1947;8;15
5;30;0;-;%z;1987;10;1;0;0;0
6;00;0;-;%z;0;1;1;0;0;0
Zone;Indian/Chagos;4;49;40;LMT;1907;1;1
5;00;0;-;%z;1996;1;1;0;0;0
6;00;0;-;%z;0;1;1;0;0;0
Zone;Asia/Yangon;6;24;47;LMT;1880;1;1
6;24;47;-;RMT;1920;1;1;0;0;0
6;30;0;-;%z;1942;5;1;0;0;0
9;00;0;-;%z;1945;5;3;0;0;0
