# Sun in signs
6,9,1.06,1.11,0.89,1.12,0.88,1.09,1.04,0.87,0.95
6,10,0.90,0.84,1.30,0.68,0.90,1.35,0.90,1.22,0.92
6,11,0.84,0.83,0.84,1.41,0.94,0.90,0.98,0.81,1.45
6,12,0.91,0.79,1.23,1.15,0.77,1.03,1.11,0.87,1.15
# Saturn in signs
7,1,1.36,1.16,0.98,0.82,0.88,0.89,0.86,1.08,0.98
7,2,1.07,0.89,0.97,1.23,0.73,0.83,1.00,1.20,1.07
7,3,0.98,0.62,1.11,1.41,1.15,0.54,1.25,0.76,1.18
7,4,1.27,0.49,1.15,1.52,0.61,1.19,1.15,0.80,0.83
7,5,1.00,1.41,0.74,1.20,1.11,1.20,0.85,0.74,0.75
7,6,1.13,0.93,1.08,0.92,0.90,0.73,1.12,1.05,1.14
7,7,0.84,0.83,1.22,0.96,0.84,0.97,1.38,1.05,0.91
7,8,0.91,1.08,0.87,0.62,0.72,1.43,1.01,1.15,1.21
7,9,0.95,1.22,1.02,0.85,1.15,0.96,0.73,1.21,0.92
7,10,1.07,0.96,1.08,0.83,1.02,1.12,0.85,1.09,0.96
7,11,0.77,1.24,0.88,0.88,1.32,0.88,1.08,0.79,1.16
7,12,0.76,0.98,0.96,0.92,1.43,1.25,0.78,1.06,0.86
# Uranus in signs
8,1,1.15,1.41,0.51,0.74,1.49,0.47,1.15,1.38,0.71
8,2,1.53,1.05,0.64,0.99,1.04,0.72,0.83,1.38,0.83
8,3,1.41,1.08,0.74,1.04,1.14,0.79,1.17,0.96,0.69
8,4,1.15,1.03,1.09,0.67,0.86,1.10,0.98,0.93,1.18
8,5,0.80,1.37,1.22,1.08,0.75,1.16,0.67,0.83,1.11
8,6,0.41,1.15,1.47,0.90,1.00,1.32,0.85,0.67,1.23
8,7,0.42,0.56,1.83,1.17,0.71,1.31,1.00,0.69,1.31
8,8,0.44,0.81,1.43,1.26,0.74,1.40,0.97,0.57,1.38
8,9,0.44,0.32,1.89,0.35,1.29,1.90,1.00,0.81,0.99
8,10,1.46,0.46,0.39,0.75,2.09,0.88,0.89,1.25,0.82
8,11,1.33,0.86,0.25,2.09,0.92,0.45,1.08,1.14,0.89
8,12,1.52,0.93,0.16,1.26,0.58,0.61,1.58,1.58,0.79
# Neptune in signs
9,1,2.24,0.05,0.28,1.34,2.07,0.29,0.49,0.96,1.34
9,2,0.97,0.57,0.05,2.57,1.95,0.45,0.51,1.00,0.98
9,3,0.59,0.22,0.22,1.07,1.98,0.57,1.55,1.53,1.28
9,4,1.64,0.40,0.20,1.23,1.90,0.32,1.21,1.12,0.98
9,5,1.29,1.00,0.15,1.14,1.02,0.52,1.44,1.60,0.85
9,6,1.38,1.30,0.60,0.89,0.96,0.62,1.05,1.46,0.73
9,7,1.23,1.12,0.98,0.83,0.98,1.00,1.05,0.91,0.91
9,8,0.56,1.30,1.49,0.89,0.74,1.37,0.76,0.70,1.19
9,9,0.30,0.67,2.00,1.09,0.50,1.58,0.99,0.52,1.35
9,10,0.52,0.39,2.43,0.47,0.87,2.71,0.34,0.34,0.94
9,11,0.93,0.05,1.04,2.24,2.07,0.72,0.61,0.40,1.00
9,12,1.55,0.05,0.05,2.49,3.46,0.05,0.68,0.44,0.37
# Pluto in signs
10,1,1.00,0.49,0.25,2.01,2.98,0.51,0.65,0.86,0.24
10,2,1.40,0.21,0.10,2.35,2.48,0.43,0.09,0.84,1.10
10,3,1.23,0.42,0.14,0.97,2.16,0.44,1.24,1.34,1.05
10,4,1.30,1.24,0.39,1.03,0.99,0.62,1.23,1.42,0.79
10,5,1.34,1.11,0.90,0.80,0.91,0.90,1.05,1.06,0.92
10,6,0.52,1.24,1.60,0.82,0.68,1.38,0.78,0.75,1.23
10,7,0.23,0.74,2.13,0.93,0.43,1.64,1.11,0.43,1.36
10,8,0.14,0.05,2.84,0.17,0.79,3.15,0.55,0.24,1.12
10,9,2.42,0.05,0.05,2.91,0.05,0.05,1.58,2.08,0.05
10,10,0.05,0.05,1.49,3.22,2.23,0.05,0.44,1.15,0.48
10,11,0.05,0.05,0.05,7.39,0.98,0.05,0.05,0.05,0.63
10,12,1.88,0.56,0.05,4.08,0.84,0.29,0.49,0.32,0.54
# True lunar node in signs
12,1,1.01,1.02,1.30,0.63,1.17,0.97,0.82,1.15,0.93
12,2,0.84,0.98,1.19,0.96,1.19,0.92,0.93,0.99,0.99
12,3,0.95,0.92,0.71,0.46,1.43,1.51,1.06,0.90,1.06
12,4,1.25,0.96,1.00,1.04,0.82,1.10,1.24,0.82,0.78
12,5,0.81,0.93,1.23,0.81,1.15,0.76,0.82,1.08,1.42
12,6,0.92,0.92,0.78,0.90,1.16,0.90,1.31,1.36,0.75
12,7,1.09,1.18,0.87,1.36,0.89,0.81,0.71,1.15,0.93
12,8,1.23,0.91,0.80,1.48,0.63,1.07,0.90,0.84,1.14
12,9,0.87,0.95,1.02,1.10,0.76,1.09,0.96,1.10,1.15
12,10,1.00,0.96,1.05,0.91,0.89,0.89,1.18,1.08,1.04
12,11,0.95,1.05,1.10,1.09,0.85,1.10,1.12,0.82,0.92
12,12,1.07,1.20,0.92,1.28,1.00,0.95,0.98,0.66,0.95
# Cheiron in signs
13,1,0.95,0.86,1.17,1.11,0.77,1.08,1.18,0.94,0.94
13,2,0.73,1.35,0.89,0.82,1.05,0.89,1.08,1.15,1.05
13,3,0.95,0.93,1.18,0.82,1.16,1.25,0.86,0.89,0.97
13,4,1.47,0.65,0.82,1.59,0.98,1.02,0.58,0.95,0.95
13,5,1.01,0.92,0.58,0.75,1.21,0.60,1.42,1.80,0.72
13,6,1.79,0.61,0.31,0.83,1.38,0.42,1.26,1.42,0.99
13,7,1.63,0.69,0.86,1.40,0.52,1.52,1.29,0.60,0.50
13,8,1.39,1.64,0.69,1.11,1.44,0.71,1.03,0.40,0.60
13,9,1.15,0.85,1.10,0.59,0.91,0.88,0.96,1.55,1.00
13,10,1.15,0.85,1.10,0.59,0.91,0.88,0.96,1.55,1.00
13,11,1.15,1.28,0.85,1.01,1.14,0.98,0.73,0.91,0.96
13,12,0.65,0.86,1.31,1.16,0.85,1.14,0.85,0.84,1.35
# Mean apogee in signs
43,1,0.69,1.40,1.06,0.88,0.96,0.83,0.84,1.26,1.08
43,2,1.09,0.83,1.07,1.67,1.30,0.84,0.82,0.63,0.75
43,3,0.87,1.28,0.89,0.84,1.05,1.08,1.05,1.06,0.89
43,4,0.89,1.12,1.10,0.81,1.14,0.93,0.99,1.03,0.99
43,5,1.12,0.86,0.78,1.35,0.91,0.80,1.21,0.96,1.00
43,6,1.04,1.10,0.85,0.65,0.77,1.07,1.10,1.15,1.28
43,7,0.90,0.96,1.41,0.90,0.61,1.15,1.11,0.94,1.00
43,8,1.14,0.84,1.04,0.84,1.02,0.88,1.03,1.05,1.16
43,9,0.95,0.98,0.81,0.86,0.95,1.54,0.90,1.02,0.99
43,10,0.86,1.14,1.02,0.88,1.19,1.02,0.84,0.96,1.11
43,11,1.38,0.87,0.88,0.95,1.10,1.14,1.09,0.63,0.96
43,12,1.12,0.57,1.16,1.29,0.92,0.82,1.02,1.30,0.80
# Ascendant in signs
1001,1,0.59,0.65,0.46,1.52,1.09,1.17,1.44,1.33,0.74
1001,2,0.58,1.19,1.33,1.07,0.72,1.15,0.83,1.26,0.87
1001,3,1.35,0.79,0.93,0.83,1.88,0.97,0.93,0.73,0.60
1001,4,0.55,1.30,0.85,1.33,1.01,0.74,1.11,0.98,1.13
1001,5,1.37,0.76,1.15,1.40,0.96,0.83,0.80,0.93,0.81
1001,6,0.78,0.85,0.94,1.06,1.11,1.02,0.71,0.99,1.55
1001,7,1.37,1.81,0.95,0.54,0.64,0.84,1.27,0.70,0.87
1001,8,1.40,0.54,0.92,1.13,1.36,0.73,0.91,1.12,0.91
1001,9,0.70,1.12,1.23,0.85,1.11,1.03,1.17,0.81,0.98
1001,10,0.95,1.10,0.98,0.58,0.70,1.68,1.04,1.10,0.86
1001,11,1.44,0.53,0.87,0.74,0.74,1.07,0.94,1.19,1.49
1001,12,0.50,0.98,1.39,1.03,0.21,1.32,0.98,1.50,1.11
# MC in signs
1002,1,1.08,1.18,0.75,1.47,0.44,0.71,1.34,1.05,0.97
1002,2,1.24,0.57,1.05,1.03,1.24,1.07,0.80,0.97,1.03
1002,3,0.68,1.11,1.02,1.16,1.02,0.82,0.59,1.02,1.57
1002,4,1.38,1.76,0.90,0.53,0.64,0.77,1.40,0.62,1.00
1002,5,1.42,1.04,0.92,0.73,0.87,0.96,0.98,1.27,0.81
1002,6,0.91,0.93,1.23,0.84,1.46,0.90,0.83,0.98,0.91
1002,7,0.89,0.91,1.11,1.09,0.98,0.96,1.38,0.88,0.81
1002,8,1.18,0.79,1.03,0.83,0.67,1.61,0.70,1.22,0.97
1002,9,0.83,0.97,1.04,0.77,0.61,1.15,1.13,1.05,1.45
1002,10,0.56,0.59,1.08,1.56,1.18,0.95,1.25,1.30,0.53
1002,11,1.30,1.30,0.76,0.75,1.20,1.28,0.89,0.66,0.87
1002,12,0.50,0.88,1.15,1.23,1.73,0.79,0.72,0.99,1.00
